ticker,removal_date,company,analyzed,fate
DISH,2010-12-20,Dish Network,no,unknown
CTAS,2010-12-20,Cintas,yes,survived
PDCO,2010-12-20,Patterson Companies,no,unknown
GENZ,2011-04-04,Genzyme,no,acquired
MICC,2011-05-27,Millicom International Cellular,no,unknown
CEPH,2011-07-15,Cephalon,no,acquired
JOYG,2011-12-06,Joy Global,no,unknown
FLIR,2011-12-19,FLIR Systems,no,unknown
ILMN,2011-12-19,Illumina,yes,survived
QGEN,2011-12-19,Qiagen,yes,survived
NIHD,2011-12-19,NII Holdings,no,delisted
URBN,2011-12-19,Urban Outfitters,yes,survived
FSLR,2012-04-23,First Solar,yes,survived
TEVA,2012-05-30,Teva Pharmaceutical Industries,yes,survived
TCOM,2012-07-23,Ctrip,yes,survived
INFY,2012-12-12,Infosys,yes,survived
APOL,2012-12-24,Apollo Group,no,unknown
FLEX,2012-12-24,Flextronics,yes,survived
GMCR,2012-12-24,Green Mountain Coffee Roasters,no,unknown
LRCX,2012-12-24,Lam Research,yes,survived
EA,2012-12-24,Electronic Arts,yes,survived
NFLX,2012-12-24,Netflix,yes,survived
RIMM,2012-12-24,Research in Motion,yes,survived
VRSN,2012-12-24,VeriSign,yes,survived
WCRX,2012-12-24,Warner Chilcott,no,unknown
MRVL,2012-12-24,Marvell Technology Group,yes,survived
LMCA,2013-01-15,Liberty Media,no,acquired
STRZA,2013-03-18,Starz,no,unknown
VMED,2013-06-05,Virgin Media,no,acquired
PRGO,2013-06-06,Perrigo,yes,survived
ORCL,2013-07-15,Oracle,yes,survived
BMC,2013-07-25,BMC Software,no,acquired
LIFE,2013-08-22,Life Technologies,no,acquired
DELL,2013-10-29,Dell,no,acquired
GOLD,2013-11-18,Randgold Resources,yes,survived
FOSL,2013-12-23,Fossil Group,yes,survived
MCHP,2013-12-23,Microchip Technology,yes,survived
SHLD,2013-12-23,Sears Holdings,no,delisted
XRAY,2013-12-23,Dentsply,yes,survived
NUAN,2013-12-23,Nuance Communications,no,unknown
MXIM,2014-12-22,Maxim Integrated Products,no,unknown
FFIV,2014-12-22,F5 Networks,yes,survived
EXPE,2014-12-22,Expedia Group,yes,survived
EQIX,2015-03-23,Equinix,yes,survived
KRFT,2015-07-02,Kraft Foods,no,acquired
CTRX,2015-07-24,Catamaran Corporation,no,acquired
DTV,2015-07-24,DirecTV,no,acquired
SIAL,2015-07-31,Sigma-Aldrich,no,acquired
ALTR,2015-10-07,Altera,no,acquired
AVGO,2015-11-11,Broadcom Corporation,no,acquired
LILA,2015-12-21,Liberty Latin America Class A,yes,survived
WYNN,2015-12-21,Wynn Resorts,yes,survived
VIP,2015-12-21,VimpelCom,yes,survived
SPLS,2015-12-21,Staples,no,unknown
GRMN,2015-12-21,Garmin,yes,survived
GMCR,2015-12-21,Keurig Green Mountain,no,unknown
EXPD,2015-12-21,Expeditors International,yes,survived
CHRW,2015-12-21,C. H. Robinson Worldwide,yes,survived
LILAK,2015-12-21,Liberty Latin America Class C,yes,survived
KLAC,2016-02-16,KLA-Tencor,yes,survived
SNDK,2016-03-16,SanDisk,no,acquired
BATRA,2016-06-20,Liberty Media,yes,survived
LMCK,2016-06-20,Liberty Media,no,unknown
LMCA,2016-06-20,Liberty Media,no,unknown
BATRK,2016-06-20,Liberty Media,yes,survived
ENDP,2016-07-18,Endo International,no,delisted
LLTC,2016-10-19,Linear Technology,no,unknown
WFM,2016-12-19,Whole Foods Market,no,unknown
