first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2009-12-21,2010-12-21,25.1,-1.59,26,2010-01-29,115.7,222,2010-11-08,100.76,253,False,23.22,77.54,AKAM,AKAM,2009-12-21,yfinance
2009-12-21,2010-12-21,3.1,0.4,94,2010-05-07,46.21,235,2010-11-26,44.73,253,False,23.22,21.51,HANS,MNST,2009-12-21,yfinance
2009-12-21,2010-12-21,8.9463,-17.95,106,2010-05-25,29.05,212,2010-10-25,16.65,253,False,23.22,-6.57,RYAAY,RYAAY,2009-12-21,yfinance
2009-12-21,2010-12-21,12.1853,-25.23,133,2010-07-02,14.74,12,2010-01-08,5.1,253,False,23.22,-18.12,STLD,STLD,2009-12-21,yfinance
2009-12-21,2010-12-21,4.5792,2.23,1,2009-12-22,90.37,220,2010-11-04,63.77,253,False,23.22,40.55,LBTYA,LBTYA,2009-12-21,yfinance
2010-12-20,2011-12-19,13.777,-62.37,252,2011-12-19,4.23,52,2011-03-07,-62.37,253,False,0.4,-62.77,LOGI,LOGI,2010-12-20,yfinance
2010-12-20,2011-12-19,33.9699,-8.94,191,2011-09-22,25.23,137,2011-07-07,11.68,253,False,0.4,11.28,JBHT,JBHT,2010-12-20,yfinance
2010-12-20,2011-12-19,6.0246,-7.72,198,2011-10-03,17.99,148,2011-07-22,7.23,253,False,0.4,6.83,CTAS,CTAS,2010-12-20,yfinance
2011-12-19,2012-12-20,25.4572,2.06,1,2011-12-20,114.83,252,2012-12-20,114.83,253,False,22.93,91.9,ILMN,ILMN,2011-12-19,yfinance
2011-12-19,2012-12-20,13.1478,1.06,2,2011-12-21,45.23,200,2012-10-04,42.51,253,False,22.93,19.58,QGEN,QGEN,2011-12-19,yfinance
2011-12-19,2012-12-20,26.14,-8.45,15,2012-01-11,54.63,252,2012-12-20,54.63,253,False,22.93,31.7,URBN,URBN,2011-12-19,yfinance
2012-04-23,2013-04-25,19.25,-38.86,28,2012-06-01,134.34,251,2013-04-24,131.01,253,False,8.64,122.37,FSLR,FSLR,2012-04-23,yfinance
2012-05-30,2013-06-03,33.5524,-4.56,145,2012-12-27,9.83,133,2012-12-10,1.07,253,False,19.27,-18.2,TEVA,TEVA,2012-05-30,yfinance
2012-07-23,2013-07-25,7.1254,-12.85,6,2012-07-31,152.65,252,2013-07-25,152.65,253,False,19.79,132.86,TCOM,TCOM,2012-07-23,yfinance
2012-12-12,2013-12-12,3.758,-7.3,132,2013-06-24,31.94,248,2013-12-06,28.14,253,False,30.88,-2.74,INFY,INFY,2012-12-12,yfinance
2012-12-24,2013-12-24,4.6873,-2.57,3,2012-12-28,52.73,179,2013-09-11,23.95,253,False,35.97,-12.02,FLEX,FLEX,2012-12-24,yfinance
2012-12-24,2013-12-24,3.137,-3.46,3,2012-12-28,48.69,213,2013-10-29,47.23,253,False,35.97,11.26,LRCX,LRCX,2012-12-24,yfinance
2012-12-24,2013-12-24,13.6932,-2.91,10,2013-01-09,98.37,174,2013-09-04,68.89,253,False,35.97,32.92,EA,EA,2012-12-24,yfinance
