ticker,removal_date,company,reason,include
PPDI,2009-12-21,Pharmaceutical Product Development,Annual index reconstitution.,1
RYAAY,2009-12-21,Ryanair,Annual index reconstitution.,1
STLD,2009-12-21,Steel Dynamics,Annual index reconstitution.,1
LBTYA,2009-12-21,Liberty Global Class A,Annual index reconstitution.,1
LOGI,2010-12-20,Logitech,Annual index reconstitution.,1
JBHT,2010-12-20,J. B. Hunt,Annual index reconstitution.,1
HOLX,2010-12-20,Hologic,Annual index reconstitution.,1
FWLT,2010-12-20,Foster Wheeler,Annual index reconstitution.,1
DISH,2010-12-20,Dish Network,Annual index reconstitution.,1
CTAS,2010-12-20,Cintas,Annual index reconstitution.,1
PDCO,2010-12-20,Patterson Companies,Annual index reconstitution.,1
GENZ,2011-04-04,Genzyme,Genzyme was acquired by Sanofi-Aventis.,0
MICC,2011-05-27,Millicom International Cellular,"Millicom consolidated its primary listing to NASDAQ OMX Stockholm, withdrawing the NASDAQ US listing.",0
CEPH,2011-07-15,Cephalon,Cephalon was acquired by Teva Pharmaceutical Industries.,0
JOYG,2011-12-06,Joy Global,Joy Global transferred its listing from NASDAQ to NYSE.,1
FLIR,2011-12-19,FLIR Systems,Annual index reconstitution.,1
ILMN,2011-12-19,Illumina,Annual index reconstitution.,1
QGEN,2011-12-19,Qiagen,Annual index reconstitution.,1
NIHD,2011-12-19,NII Holdings,Annual index reconstitution.,1
URBN,2011-12-19,Urban Outfitters,Annual index reconstitution.,1
FSLR,2012-04-23,First Solar,First Solar did not meet the minimum monthly weight requirements.,1
TEVA,2012-05-30,Teva Pharmaceutical Industries,Teva transferred its listing from NASDAQ to NYSE.,1
TCOM,2012-07-23,Ctrip,Ctrip did not meet the minimum monthly weight requirements.,1
INFY,2012-12-12,Infosys,Infosys transferred its listing from NASDAQ to NYSE.,1
APOL,2012-12-24,Apollo Group,Annual index reconstitution.,1
FLEX,2012-12-24,Flextronics,Annual index reconstitution.,1
GMCR,2012-12-24,Green Mountain Coffee Roasters,Annual index reconstitution.,1
LRCX,2012-12-24,Lam Research,Annual index reconstitution.,1
EA,2012-12-24,Electronic Arts,Annual index reconstitution.,1
NFLX,2012-12-24,Netflix,Annual index reconstitution.,1
RIMM,2012-12-24,Research in Motion,Annual index reconstitution.,1
VRSN,2012-12-24,VeriSign,Annual index reconstitution.,1
WCRX,2012-12-24,Warner Chilcott,Annual index reconstitution.,1
MRVL,2012-12-24,Marvell Technology Group,Annual index reconstitution.,1
LMCA,2013-01-15,Liberty Media,Starz replaced Liberty Media after a spinoff.,0
STRZA,2013-03-18,Starz,Starz did not meet the minimum monthly weight requirements.,1
VMED,2013-06-05,Virgin Media,Virgin Media merged with Liberty Media.,0
PRGO,2013-06-06,Perrigo,Perrigo transferred its listing from NASDAQ to NYSE.,1
ORCL,2013-07-15,Oracle,Oracle transferred its listing from NASDAQ to NYSE.,1
BMC,2013-07-25,BMC Software,BMC Software was taken private.,0
